RING PLANE CROSSING ,,,,,
"Seq  = Cassini planning sequence, Rev = revolution - defined from apoapse to apoapse",,,,,
"and Rs = 60,268 km",,,,,
Seq,Rev,Event,Epoch (SCET),Date,Range(Rs)
S59,129,Descending Ring Crossing,2010-097T06:00,Apr07,5.899
S59,129,Ascending Ring Crossing,2010-097T22:32,Apr07,7.271
S59,130,Descending Ring Crossing,2010-117T01:08,Apr27,12.258
S59,130,Ascending Ring Crossing,2010-118T01:22,Apr28,4.407
S60,131,Descending Ring Crossing,2010-138T04:00,May18,4.765
S60,131,Ascending Ring Crossing,2010-139T00:09,May19,10.122
S60,132,Descending Ring Crossing,2010-154T06:24,Jun03,2.95
S60,132,Ascending Ring Crossing,2010-155T21:43,Jun04,18.762
S60,132,Descending Ring Crossing,2010-158T04:40,Jun07,30.876
S60,133,Ascending Ring Crossing,2010-170T06:28,Jun19,2.67
S60,133,Descending Ring Crossing,2010-172T04:16,Jun21,20.994
S61,134,Ascending Ring Crossing,2010-186T03:37,Jul05,3.174
S61,134,Descending Ring Crossing,2010-188T03:18,Jul07,21.057
S61,135,Ascending Ring Crossing,2010-206T01:19,Jul25,3.719
S61,135,Descending Ring Crossing,2010-208T04:41,Jul27,22.097
S62,136,Ascending Ring Crossing,2010-225T23:05,Aug13,3.753
S62,136,Descending Ring Crossing,2010-228T01:05,Aug16,21.693
S62,137,Ascending Ring Crossing,2010-245T23:38,Sep02,3.767
S62,137,Descending Ring Crossing,2010-248T00:48,Sep05,21.43
S63,138,Ascending Ring Crossing,2010-265T21:57,Sep22,3.767
S63,138,Descending Ring Crossing,2010-267T23:34,Sep24,21.622
S64,139,Ascending Ring Crossing,2010-289T14:42,Oct16,4.647
S64,139,Descending Ring Crossing,2010-291T13:17,Oct18,20.228
S64,140,Ascending Ring Crossing,2010-313T14:58,Nov09,4.658
S64,140,Descending Ring Crossing,2010-315T13:00,Nov11,20.054
S65,141,Ascending Ring Crossing,2010-334T08:42,Nov30,3.62
S65,141,Descending Ring Crossing,2010-336T23:53,Dec02,25.456
